MLS,sold_price,zipcode,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21211486,498000.0,85749,0.98,5203.0,1993,3,3.0,3621.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile",50
21211016,510000.0,85716,0.0,2780.0,1946,5,5.0,2394.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Concrete, Wood",0
21206236,535000.0,85749,1.86,4490.13,1999,4,3.0,3614.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",2,"Carpet, Ceramic Tile",58
21218869,525000.0,85730,3.3,6516.0,1997,5,5.0,3959.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Ceramic Tile",17
21214929,550000.0,85737,0.56,1779.0,2012,3,3.0,2700.0,3.0,"Dishwasher, Garbage Disposal, Oven",1,Ceramic Tile,75
21210203,544000.0,85718,1.52,5592.58,1977,5,4.0,4305.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Mexican Tile",0
21223852,555000.0,85704,1.5,6755.0,2006,4,3.0,2915.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",1,"Carpet, Ceramic Tile",0
21220708,550000.0,85737,1.06,4726.69,1994,4,4.0,3499.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Ceramic Tile, Concrete",5
21130766,520000.0,85748,3.54,4846.33,1994,4,3.0,3161.0,3.0,"Dishwasher, Refrigerator, Microwave, Oven",2,"Carpet, Other",54
21222945,512500.0,85718,1.25,5413.0,1980,5,3.0,3290.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator",1,"Carpet, Ceramic Tile",10
21302121,520000.0,85658,0.31,5664.68,2005,3,4.0,2269.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",214
21300794,550000.0,85718,2.3,4783.33,1973,3,3.0,3336.0,3.0,"Garbage Disposal, Microwave, Oven",2,"Ceramic Tile, Natural Stone",20
21307802,545000.0,85750,0.37,4073.0,1993,4,3.0,2924.0,2.0,"Dishwasher, Garbage Disposal, Oven",1,"Carpet, Ceramic Tile, Wood",67
21303495,535000.0,85718,0.15,3059.92,1987,2,2.0,2581.0,2.0,"Dishwasher, Garbage Disposal, Microwave, Oven",4,"Carpet, Concrete, Mexican Tile",191
21311302,520000.0,85718,1.02,3764.0,1978,3,3.0,2892.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile, Wood",16
21305642,535000.0,85745,1.23,7892.0,2008,4,6.0,5183.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0,Natural Stone,42
21316492,537500.0,85749,0.8,3494.0,1997,4,3.0,3068.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",2,"Carpet, Other",50
